label,path
rightArrow,data/rightArrow/174_trace_imageeeE.png
rightArrow,data/rightArrow/19_trace_imageeeE.png
rightArrow,data/rightArrow/117_trace_imageeeE.png
rightArrow,data/rightArrow/14_trace_imageeeE.png
rightArrow,data/rightArrow/7_trace_imageeeE.png
rightArrow,data/rightArrow/77_trace_imageeeE.png
rightArrow,data/rightArrow/67_trace_imageeeE.png
rightArrow,data/rightArrow/169_trace_imageeeE.png
rightArrow,data/rightArrow/107_trace_imageeeE.png
rightArrow,data/rightArrow/164_trace_imageeeE.png
rightArrow,data/rightArrow/159_trace_imageeeE.png
rightArrow,data/rightArrow/34_trace_imageeeE.png
rightArrow,data/rightArrow/57_trace_imageeeE.png
rightArrow,data/rightArrow/192_trace_imageeeE.png
rightArrow,data/rightArrow/91_trace_imageeeE.png
rightArrow,data/rightArrow/39_trace_imageeeE.png
rightArrow,data/rightArrow/154_trace_imageeeE.png
rightArrow,data/rightArrow/137_trace_imageeeE.png
rightArrow,data/rightArrow/127_trace_imageeeE.png
rightArrow,data/rightArrow/29_trace_imageeeE.png
rightArrow,data/rightArrow/81_trace_imageeeE.png
rightArrow,data/rightArrow/144_trace_imageeeE.png
rightArrow,data/rightArrow/47_trace_imageeeE.png
rightArrow,data/rightArrow/182_trace_imageeeE.png
rightArrow,data/rightArrow/149_trace_imageeeE.png
rightArrow,data/rightArrow/24_trace_imageeeE.png
rightArrow,data/rightArrow/181_trace_imageeeE.png
rightArrow,data/rightArrow/129_trace_imageeeE.png
rightArrow,data/rightArrow/44_trace_imageeeE.png
rightArrow,data/rightArrow/27_trace_imageeeE.png
rightArrow,data/rightArrow/49_trace_imageeeE.png
rightArrow,data/rightArrow/124_trace_imageeeE.png
rightArrow,data/rightArrow/147_trace_imageeeE.png
rightArrow,data/rightArrow/82_trace_imageeeE.png
rightArrow,data/rightArrow/157_trace_imageeeE.png
rightArrow,data/rightArrow/92_trace_imageeeE.png
rightArrow,data/rightArrow/59_trace_imageeeE.png
rightArrow,data/rightArrow/134_trace_imageeeE.png
rightArrow,data/rightArrow/37_trace_imageeeE.png
rightArrow,data/rightArrow/139_trace_imageeeE.png
rightArrow,data/rightArrow/191_trace_imageeeE.png
rightArrow,data/rightArrow/54_trace_imageeeE.png
rightArrow,data/rightArrow/104_trace_imageeeE.png
rightArrow,data/rightArrow/69_trace_imageeeE.png
rightArrow,data/rightArrow/167_trace_imageeeE.png
rightArrow,data/rightArrow/64_trace_imageeeE.png
rightArrow,data/rightArrow/109_trace_imageeeE.png
rightArrow,data/rightArrow/4_trace_imageeeE.png
rightArrow,data/rightArrow/17_trace_imageeeE.png
rightArrow,data/rightArrow/119_trace_imageeeE.png
